Algorithm,Runs (n),Signing throughput (ops/s),Verification throughput (ops/s),"Signing energy/op, package (mJ/op)","Verification energy/op, package (mJ/op)","Signing energy/op, cores (mJ/op)","Verification energy/op, cores (mJ/op)"
dilithium-Dilithium3,20,"5.46e+03 ± 8.6
(95% CI ±4)","1.43e+04 ± 18
(95% CI ±8.4)","0.634 ± 0.0085
(95% CI ±0.004)","0.241 ± 0.0027
(95% CI ±0.0013)","0.621 ± 0.0022
(95% CI ±0.001)","0.237 ± 0.0015
(95% CI ±0.00072)"
ecdsa-P-384,20,"899 ± 0.66
(95% CI ±0.31)","1.03e+03 ± 0.81
(95% CI ±0.38)","3.84 ± 0.036
(95% CI ±0.017)","3.31 ± 0.054
(95% CI ±0.025)","3.74 ± 0.0095
(95% CI ±0.0044)","3.25 ± 0.032
(95% CI ±0.015)"
rsa-7680,20,"16.1 ± 0.015
(95% CI ±0.0069)","2.56e+03 ± 1.5
(95% CI ±0.69)","183 ± 4.3
(95% CI ±2)","1.12 ± 0.019
(95% CI ±0.0088)","177 ± 3.4
(95% CI ±1.6)","1.09 ± 0.013
(95% CI ±0.0062)"
sphincs-SPHINCS+-SHA2-192f-simple,20,"44.6 ± 0.025
(95% CI ±0.012)","630 ± 0.95
(95% CI ±0.45)","71.9 ± 1.1
(95% CI ±0.5)","5.05 ± 0.07
(95% CI ±0.033)","69.9 ± 0.48
(95% CI ±0.23)","4.88 ± 0.024
(95% CI ±0.011)"
sphincs-SPHINCS+-SHA2-192s-simple,20,"1.98 ± 0
(95% CI ±0)","1.57e+03 ± 0.93
(95% CI ±0.43)","1.63e+03 ± 33
(95% CI ±16)","2.06 ± 0.044
(95% CI ±0.02)","1.58e+03 ± 17
(95% CI ±7.8)","1.99 ± 0.021
(95% CI ±0.01)"
